,137,232,school_pri
305,102.0,6.0,2706.0
306,91.0,0.0,2470.0
307,64.0,1.0,1862.0
308,41.0,2.0,1250.0
309,27.0,0.0,778.0
310,12.0,0.0,682.0
311,18.0,1.0,356.0
312,5.0,0.0,160.0
313,6.0,0.0,104.0
314,3.0,1.0,66.0
315,3.0,1.0,72.0
316,3.0,0.0,62.0
317,5.0,0.0,206.0
318,13.0,2.0,744.0
319,37.0,0.0,1558.0
320,44.0,5.0,2330.0
321,51.0,3.0,2312.0
322,62.0,0.0,2416.0
323,79.0,2.0,2524.0
324,96.0,7.0,2938.0
325,81.0,8.0,2984.0
326,72.0,3.0,3068.0
327,89.0,8.0,3100.0
328,102.0,6.0,2850.0
329,98.0,4.0,2922.0
330,59.0,4.0,2634.0
331,77.0,5.0,2006.0
332,59.0,1.0,1364.0
333,35.0,2.0,994.0
334,16.0,1.0,836.0
335,17.0,0.0,380.0
336,13.0,0.0,242.0
337,4.0,0.0,140.0
338,6.0,0.0,50.0
339,2.0,0.0,58.0
340,2.0,1.0,50.0
341,6.0,0.0,214.0
342,16.0,1.0,722.0
343,37.0,2.0,1396.0
344,59.0,4.0,2248.0
345,57.0,3.0,2160.0
346,71.0,4.0,2532.0
347,72.0,6.0,2604.0
348,94.0,2.0,2868.0
349,87.0,5.0,2954.0
350,85.0,7.0,3178.0
351,118.0,7.0,3098.0
352,79.0,3.0,2718.0
353,73.0,1.0,2756.0
354,66.0,3.0,2634.0
355,70.0,5.0,2054.0
356,48.0,3.0,1388.0
357,32.0,1.0,984.0
358,33.0,6.0,1018.0
359,27.0,1.0,516.0
360,21.0,2.0,364.0
361,10.0,1.0,220.0
362,3.0,0.0,122.0
363,1.0,1.0,80.0
364,3.0,0.0,58.0
365,1.0,0.0,110.0
366,4.0,1.0,286.0
367,17.0,1.0,534.0
368,26.0,2.0,732.0
369,27.0,4.0,1198.0
370,28.0,3.0,1446.0
371,39.0,3.0,1702.0
372,38.0,3.0,2136.0
373,43.0,2.0,2290.0
374,36.0,1.0,2340.0
375,39.0,8.0,2490.0
376,47.0,3.0,2608.0
377,35.0,2.0,2216.0
378,34.0,2.0,1954.0
379,52.0,1.0,1618.0
380,40.0,1.0,1182.0
381,17.0,0.0,908.0
382,19.0,2.0,884.0
383,20.0,3.0,610.0
384,16.0,1.0,424.0
385,6.0,1.0,240.0
386,6.0,0.0,140.0
387,3.0,0.0,98.0
388,1.0,1.0,72.0
389,1.0,2.0,76.0
390,6.0,1.0,238.0
391,18.0,2.0,402.0
392,19.0,2.0,572.0
393,20.0,2.0,910.0
394,17.0,1.0,1232.0
395,27.0,1.0,1538.0
396,36.0,1.0,1880.0
397,30.0,3.0,2076.0
398,31.0,5.0,2126.0
399,32.0,6.0,2168.0
400,42.0,1.0,2022.0
401,27.0,3.0,1696.0
402,23.0,1.0,1436.0
403,34.0,3.0,1118.0
404,31.0,2.0,840.0
405,17.0,2.0,586.0
406,23.0,1.0,692.0
407,14.0,0.0,322.0
408,20.0,0.0,202.0
409,6.0,1.0,128.0
410,2.0,0.0,44.0
411,3.0,0.0,46.0
412,0.0,0.0,48.0
413,2.0,0.0,112.0
414,10.0,0.0,364.0
415,40.0,1.0,702.0
416,26.0,1.0,992.0
417,26.0,1.0,1390.0
418,38.0,1.0,1612.0
419,35.0,6.0,1968.0
420,47.0,8.0,2182.0
421,48.0,3.0,2322.0
422,55.0,6.0,2440.0
423,37.0,3.0,2486.0
424,49.0,5.0,2110.0
425,39.0,3.0,2000.0
426,30.0,4.0,1594.0
427,44.0,4.0,1384.0
428,23.0,1.0,738.0
429,15.0,0.0,564.0
430,17.0,2.0,458.0
431,11.0,0.0,230.0
432,15.0,0.0,124.0
433,4.0,1.0,92.0
434,5.0,0.0,38.0
435,1.0,0.0,22.0
436,2.0,0.0,48.0
437,0.0,0.0,186.0
438,15.0,0.0,710.0
439,41.0,5.0,1658.0
440,55.0,1.0,2612.0
441,61.0,3.0,2446.0
442,75.0,5.0,2374.0
443,98.0,7.0,2568.0
444,71.0,7.0,2822.0
445,85.0,5.0,2742.0
446,75.0,9.0,3050.0
447,99.0,7.0,3184.0
448,101.0,4.0,2766.0
449,79.0,8.0,2750.0
450,70.0,4.0,2652.0
451,58.0,1.0,1708.0
452,33.0,1.0,1044.0
453,41.0,1.0,774.0
454,20.0,0.0,524.0
455,14.0,1.0,352.0
456,16.0,0.0,168.0
457,3.0,1.0,84.0
458,3.0,0.0,40.0
459,1.0,0.0,48.0
460,4.0,0.0,58.0
461,1.0,0.0,182.0
462,21.0,0.0,688.0
463,53.0,2.0,1760.0
464,43.0,3.0,2372.0
465,49.0,1.0,2250.0
466,65.0,5.0,2238.0
467,78.0,2.0,2386.0
468,61.0,4.0,2390.0
469,74.0,5.0,2648.0
470,68.0,2.0,2870.0
471,83.0,6.0,3218.0
472,81.0,5.0,2766.0
473,113.0,5.0,2810.0
474,76.0,3.0,2598.0
475,78.0,4.0,1842.0
476,42.0,0.0,1216.0
477,27.0,0.0,840.0
478,18.0,0.0,628.0
479,13.0,0.0,320.0
480,15.0,0.0,166.0
481,7.0,0.0,92.0
482,5.0,0.0,62.0
483,3.0,0.0,30.0
484,4.0,0.0,44.0
485,5.0,0.0,204.0
486,16.0,1.0,690.0
487,37.0,1.0,1586.0
488,57.0,3.0,2600.0
489,74.0,1.0,2408.0
490,45.0,1.0,2410.0
491,75.0,4.0,2664.0
492,92.0,3.0,2804.0
493,87.0,5.0,2910.0
494,75.0,2.0,3150.0
495,91.0,4.0,3150.0
496,103.0,8.0,2822.0
497,86.0,4.0,2748.0
498,70.0,0.0,2726.0
499,85.0,0.0,1988.0
500,50.0,2.0,1338.0
501,16.0,2.0,912.0
502,19.0,0.0,688.0
503,28.0,0.0,448.0
504,9.0,0.0,228.0
505,3.0,0.0,122.0
506,3.0,0.0,64.0
507,0.0,0.0,30.0
508,2.0,0.0,46.0
509,2.0,0.0,216.0
510,17.0,1.0,698.0
511,44.0,3.0,1418.0
512,59.0,3.0,2294.0
513,58.0,2.0,2212.0
514,74.0,3.0,2454.0
515,75.0,1.0,2598.0
516,80.0,4.0,2756.0
517,80.0,4.0,2948.0
518,80.0,5.0,3172.0
519,107.0,8.0,3384.0
520,91.0,2.0,2778.0
521,90.0,4.0,2866.0
522,84.0,4.0,2960.0
523,89.0,4.0,2378.0
524,46.0,2.0,1478.0
525,33.0,1.0,1192.0
526,23.0,1.0,1058.0
527,35.0,0.0,648.0
528,21.0,1.0,428.0
529,13.0,0.0,282.0
530,10.0,0.0,132.0
531,3.0,0.0,108.0
532,2.0,0.0,46.0
533,3.0,2.0,132.0
534,7.0,3.0,312.0
535,27.0,2.0,552.0
536,27.0,3.0,810.0
537,40.0,2.0,1284.0
538,34.0,2.0,1818.0
539,39.0,2.0,2116.0
540,59.0,4.0,2460.0
541,45.0,4.0,2608.0
542,52.0,4.0,2530.0
543,40.0,1.0,2746.0
544,56.0,2.0,2592.0
545,40.0,5.0,2474.0
546,41.0,4.0,2104.0
547,50.0,2.0,1672.0
548,43.0,6.0,1234.0
549,16.0,0.0,922.0
550,25.0,1.0,864.0
551,18.0,1.0,522.0
552,28.0,1.0,386.0
553,24.0,2.0,452.0
554,11.0,0.0,180.0
555,2.0,0.0,72.0
556,5.0,0.0,62.0
557,1.0,0.0,80.0
558,5.0,1.0,214.0
559,19.0,0.0,358.0
560,16.0,0.0,528.0
561,24.0,1.0,912.0
562,23.0,2.0,1224.0
563,32.0,1.0,1626.0
564,32.0,2.0,1820.0
565,39.0,1.0,2114.0
566,32.0,2.0,2120.0
567,34.0,0.0,2102.0
568,45.0,5.0,1918.0
569,27.0,3.0,1578.0
570,28.0,2.0,1374.0
571,38.0,3.0,960.0
572,28.0,0.0,734.0
573,13.0,1.0,512.0
574,22.0,1.0,462.0
575,12.0,1.0,268.0
576,11.0,1.0,172.0
577,2.0,0.0,66.0
578,2.0,0.0,58.0
579,2.0,0.0,36.0
580,3.0,0.0,56.0
581,3.0,0.0,190.0
582,12.0,0.0,764.0
583,51.0,1.0,1692.0
584,62.0,7.0,2536.0
585,63.0,5.0,2244.0
586,68.0,3.0,2292.0
587,70.0,4.0,2252.0
588,92.0,6.0,2346.0
589,85.0,4.0,2514.0
590,73.0,1.0,2702.0
591,92.0,3.0,2848.0
592,103.0,6.0,2444.0
593,87.0,2.0,2482.0
594,82.0,4.0,2310.0
595,60.0,4.0,1602.0
596,51.0,2.0,986.0
597,24.0,0.0,666.0
598,20.0,0.0,502.0
599,13.0,0.0,276.0
600,19.0,1.0,182.0
601,1.0,0.0,50.0
602,1.0,0.0,62.0
603,2.0,0.0,36.0
604,2.0,0.0,44.0
605,1.0,1.0,182.0
606,17.0,0.0,694.0
607,50.0,1.0,1650.0
